,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
11401,310,,,0.784190564,7,,low,0.081146671,Left,4
11402,201,,,0.878812629,3,,low,0.565888375,Employed,2
11403,192,engineering,,,3,,low,0.747068564,Employed,2
11404,215,support,1,0.39279157,4,,low,0.214692979,Employed,4
11405,210,sales,,0.897564015,3,,medium,0.568701732,Employed,3
11406,308,sales,,0.839597301,6,,medium,0.112364903,Left,5
11407,278,sales,,0.73857116,2,,medium,0.909220261,Employed,2
11408,130,sales,,0.525459782,2,,medium,0.477080397,Left,3
11409,180,support,,0.651085562,5,,medium,0.81460755,Left,5
11410,142,,,0.557370022,2,,medium,0.488614184,Left,3
11411,262,information_technology,,0.60799469,4,,medium,0.781684773,Employed,3
11412,139,,,0.864967823,3,,low,0.715476283,Employed,2
11413,249,sales,,0.755638601,4,,low,0.246738519,Employed,5
11414,237,sales,,0.913869942,5,,medium,0.508732602,Employed,3
11415,284,sales,,0.790077613,3,,low,0.492805624,Employed,10
11416,292,sales,,0.954347055,6,,medium,0.10734793,Left,4
11417,167,engineering,1,0.948621016,5,,low,0.383209091,Employed,3
11418,173,marketing,,0.842199231,3,,low,0.925607717,Employed,3
11419,180,sales,,0.573726703,4,,low,0.837980515,Employed,2
11420,235,,,0.978710818,5,,low,0.723525566,Left,5
11421,144,,,0.657198731,5,,low,0.892228232,Employed,2
11422,255,IT,,0.944741576,4,,medium,0.66455248,Employed,3
11423,230,support,,0.925602053,5,,low,0.855421546,Left,5
11424,225,support,,0.58773322,3,,low,0.769129086,Employed,4
11425,171,sales,,0.624439955,4,,low,0.662335379,Employed,3
11426,272,product,,0.74147268,4,,high,0.983175223,Employed,3
11427,183,support,,0.87213907,3,,low,0.692515796,Left,5
11428,273,sales,,0.68516823,4,,medium,0.73203006,Employed,3
11429,271,engineering,,0.55947622,5,,medium,0.65068845,Employed,3
11430,199,,,0.981227746,6,,medium,0.201060183,Employed,4
11431,181,IT,,0.903718712,4,,medium,0.558754389,Employed,3
