avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,tenure
193,sales,,,5,,low,0.724767541,3
212,support,,0.57564388,2,,medium,0.854162026,3
310,,,0.784190564,7,,low,0.081146671,4
201,,,0.878812629,3,,low,0.565888375,2
192,engineering,,,3,,low,0.747068564,2
215,support,1,0.39279157,4,,low,0.214692979,4
210,sales,,0.897564015,3,,medium,0.568701732,3
308,sales,,0.839597301,6,,medium,0.112364903,5
278,sales,,0.73857116,2,,medium,0.909220261,2
130,sales,,0.525459782,2,,medium,0.477080397,3
180,support,,0.651085562,5,,medium,0.81460755,5
142,,,0.557370022,2,,medium,0.488614184,3
262,information_technology,,0.60799469,4,,medium,0.781684773,3
139,,,0.864967823,3,,low,0.715476283,2
249,sales,,0.755638601,4,,low,0.246738519,5
237,sales,,0.913869942,5,,medium,0.508732602,3
284,sales,,0.790077613,3,,low,0.492805624,10
292,sales,,0.954347055,6,,medium,0.10734793,4
167,engineering,1,0.948621016,5,,low,0.383209091,3
173,marketing,,0.842199231,3,,low,0.925607717,3
180,sales,,0.573726703,4,,low,0.837980515,2
235,,,0.978710818,5,,low,0.723525566,5
144,,,0.657198731,5,,low,0.892228232,2
255,IT,,0.944741576,4,,medium,0.66455248,3
230,support,,0.925602053,5,,low,0.855421546,5
225,support,,0.58773322,3,,low,0.769129086,4
171,sales,,0.624439955,4,,low,0.662335379,3
272,product,,0.74147268,4,,high,0.983175223,3
183,support,,0.87213907,3,,low,0.692515796,5
273,sales,,0.68516823,4,,medium,0.73203006,3
271,engineering,,0.55947622,5,,medium,0.65068845,3
199,,,0.981227746,6,,medium,0.201060183,4
181,IT,,0.903718712,4,,medium,0.558754389,3
256,procurement,,0.542984438,5,,medium,0.509731616,3
148,product,,0.945407648,3,,medium,0.706554362,2
274,IT,,0.918925677,4,,low,0.904038632,5
88,temp,,,1,,medium,,
225,sales,,0.476891253,4,,medium,0.969827784,3
199,sales,,1,3,,medium,0.455082584,3
253,finance,,0.7613175,3,,low,0.907033339,4
217,sales,,,5,,medium,0.781289489,2
233,finance,,0.695166256,4,,medium,0.883219027,3
135,sales,1,0.675596054,4,,low,0.994338274,2
210,product,,0.810114688,4,,medium,0.53578557,2
282,engineering,,0.68070383,7,,low,0.149831625,5
157,information_technology,,0.770100231,3,,low,0.502372419,3
166,support,,0.501198785,2,,medium,0.345552704,3
194,sales,1,0.776982556,3,,low,0.627145603,4
163,sales,1,0.712559305,3,,medium,0.728121416,3
179,sales,,0.626729276,3,,low,0.857125348,2
298,sales,,0.854165523,6,,low,0.129394374,4
136,engineering,,0.455199771,2,,medium,0.40296531,3
148,engineering,,0.581015326,2,,medium,0.355463524,3
157,sales,1,0.717161198,2,,medium,0.545332367,2
187,IT,,0.660305454,4,,low,0.936029238,2
146,information_technology,,,2,,low,0.430571371,3
176,product,1,0.804183385,4,,high,0.271381529,6
271,sales,,0.677930025,4,,low,0.728467543,3
245,sales,,0.831925895,5,,low,0.749456404,5
127,management,,0.538338296,2,,medium,0.418460469,3
244,finance,,0.83432896,6,,low,0.10550614,4
255,sales,,0.665705167,4,,low,0.699752364,5
151,IT,,0.579692019,2,,low,0.401741342,3
169,sales,,0.791071081,4,,low,0.506890369,2
224,support,,0.479779012,3,,medium,1,4
159,sales,,0.504138051,2,,low,0.442861858,3
170,product,1,,5,,medium,0.850975021,3
239,sales,,0.891239736,4,,low,0.872303671,5
196,sales,,0.984729495,5,,medium,0.471608488,4
123,sales,,0.347340926,3,,medium,0.439555907,2
130,support,,0.506342553,2,,medium,0.450085094,3
158,engineering,,0.540869486,5,,medium,0.656391665,3
200,engineering,,0.917300956,3,,high,0.61869304,3
153,finance,,0.448672226,2,,low,0.406215838,3
153,marketing,,0.715606166,4,,medium,0.811563521,2
242,sales,,0.893123144,3,,high,0.67477319,10
257,sales,,0.915106846,6,,low,0.117709861,4
155,sales,,0.999210471,2,,low,0.647376868,5
271,sales,,0.924442343,6,,low,0.089986659,4
261,engineering,,0.854614147,7,,low,0.132620541,5
190,sales,,0.684663104,5,,medium,0.744797076,2
196,sales,,0.508791064,4,,low,0.897575801,2
133,support,,0.89077893,4,,medium,0.281780284,6
151,,,0.54590273,2,,medium,0.375162448,3
266,marketing,,0.785415679,4,,medium,0.531684988,3
251,procurement,,0.589794614,3,,medium,0.66150292,2
252,management,,0.861853859,4,,medium,0.742811407,3
253,marketing,,1,4,,low,0.742823861,5
266,support,,0.888645363,6,,medium,0.110050368,4
196,sales,,0.517926054,2,,low,0.719714126,3
305,finance,,0.827805637,6,,medium,0.083521395,4
152,sales,,0.487162521,2,,high,0.407064308,3
215,sales,1,0.61787238,5,,medium,0.812844944,2
160,support,,,2,,low,0.390793111,3
239,sales,,0.756458244,3,,low,0.144811523,6
226,sales,,0.814475547,5,,medium,0.160272585,3
220,support,,0.898860858,3,,low,0.951614958,3
135,IT,,0.669564175,4,,high,0.436604136,2
226,engineering,,0.496213252,2,,low,0.417606534,3
226,IT,,0.646907051,5,,medium,0.50271445,3
152,engineering,,0.564566223,2,,low,0.399600534,3
195,engineering,,,5,,low,0.856397938,3
212,sales,,0.76907581,3,,medium,0.981902103,3
171,,,0.974082844,4,,medium,0.726772739,2
165,engineering,1,0.71154363,4,,medium,0.573526182,4
163,support,,0.486176477,3,,medium,0.832118027,3
238,,,,4,,low,0.615123853,3
264,sales,,0.601641496,3,,medium,0.965691313,2
274,,,1,5,,low,0.828587128,5
161,IT,,0.611810859,4,,low,0.908824996,3
234,IT,1,,4,,medium,0.620067951,2
157,admin,,0.615281701,3,,medium,0.74824012,2
98,sales,,,6,,low,0.863905128,3
129,support,,0.517917509,2,,low,0.408524764,3
153,engineering,,0.671329743,3,,low,0.532547861,3
231,support,,,3,,medium,0.766310108,2
145,engineering,,0.505864548,2,,medium,0.552376872,5
166,engineering,,0.740931343,2,,low,0.743431849,3
264,support,,0.848914355,4,,low,0.934212778,6
161,sales,1,,3,,medium,0.718939137,2
183,procurement,,0.567723846,4,,low,0.540291837,3
68,temp,1,,1,,low,,
170,engineering,,0.750793526,6,,low,0.111065547,3
232,product,1,0.484471282,3,,low,0.780422951,3
164,finance,,0.800727461,3,,medium,0.966760827,2
250,marketing,,0.879590262,6,,medium,0.788683242,2
180,support,,0.888614409,3,,medium,0.848466095,2
247,admin,,0.43821524,4,,medium,0.44076664,3
203,support,,0.813183486,3,,medium,0.796374678,3
117,sales,,0.948659522,6,,medium,0.139179633,7
137,support,,0.600067159,4,,medium,0.909397343,2
177,finance,,0.731806656,4,,low,0.700333411,3
174,finance,,0.744834445,5,,high,0.529674361,3
263,support,,0.801775505,4,,medium,0.891971863,3
143,support,,0.545874033,2,,low,0.42503779,3
252,sales,1,0.676741074,4,,medium,0.597250944,3
265,product,,0.655318318,3,,medium,0.725558146,3
146,sales,1,0.475898333,4,,medium,0.398743479,3
256,,,0.430148987,4,,low,0.221994791,5
233,engineering,,0.752626507,5,,high,0.719872858,3
238,,1,0.739195996,4,,low,0.62374144,5
244,sales,,0.507410514,5,,medium,0.692799261,4
135,sales,,,2,,medium,0.401814525,3
270,sales,,,3,,medium,0.961367826,3
135,sales,,0.538431005,2,,low,0.481314731,3
189,support,,,4,,medium,0.674973755,2
225,finance,,0.652258065,5,,medium,0.719194901,3
191,engineering,,0.665423993,3,,low,0.643519512,3
237,marketing,1,0.967121114,4,,medium,0.721329296,3
227,sales,1,0.727027787,5,,medium,0.678269499,3
248,sales,,0.507900017,3,,low,0.779711432,4
218,sales,,0.703422686,6,,medium,0.399755764,6
271,product,,0.818123134,5,,low,0.692901385,4
262,IT,,0.726147436,4,,low,0.884823512,2
179,marketing,,0.447264734,4,,low,0.628314624,3
253,support,,0.852173365,6,,low,0.072781214,4
237,sales,,0.910993568,5,,medium,0.885366176,5
254,engineering,,0.913672152,6,,low,0.085266707,4
272,finance,,0.848143767,7,,low,0.129462237,4
256,marketing,,0.944467863,7,,medium,0.108002248,4
134,support,1,0.736115583,3,,low,0.677039812,3
221,product,,1,5,,low,0.766439104,5
125,management,,0.689589592,3,,medium,0.32105464,3
220,sales,,0.433011289,5,,low,0.574210145,4
236,IT,,,2,,medium,0.841650406,3
158,sales,,,2,,low,0.425986508,3
141,support,,0.503454034,4,,medium,0.777700016,3
242,support,,0.616860859,4,,low,0.892032457,4
205,sales,,1,4,1,medium,0.883033762,2
246,support,,0.645926979,4,,medium,0.925466426,2
144,engineering,,0.800164289,4,,medium,0.947398596,4
178,IT,,0.690528028,4,,medium,0.552321832,8
229,sales,,0.717835708,4,,medium,0.69297883,3
135,,,0.8028506,4,,low,0.667746083,2
249,IT,,0.957642886,4,,low,0.762855182,5
219,engineering,,,2,,low,0.390928762,2
152,sales,,0.825790972,4,,low,0.846769286,7
174,support,,0.97476631,3,,low,0.279858952,6
272,product,,0.738935232,3,,low,0.629692472,2
146,engineering,1,0.59734077,3,,medium,0.117661759,6
194,engineering,,0.669918009,6,,low,0.204712774,3
173,sales,,0.579738081,6,,low,0.145654173,4
239,,,,4,1,high,0.590319492,2
264,procurement,,0.791908961,3,,low,0.972331467,3
218,engineering,,1,5,,medium,0.879017557,5
156,engineering,,0.722382325,2,,medium,0.648702376,3
180,engineering,1,0.626587751,3,,low,0.52082666,2
194,procurement,1,0.809815566,4,,low,0.867009224,3
139,support,,0.345532392,5,,medium,0.345729233,4
280,information_technology,1,0.832637366,5,,high,0.102248748,3
249,product,,0.79513098,4,,medium,0.592333311,10
193,support,,0.556287945,4,,medium,0.739278663,3
262,support,,0.566443646,5,,medium,0.572875524,3
246,,,0.89978978,4,,low,0.794377127,6
247,,,0.37312172,3,,medium,0.186188627,4
159,IT,,0.510608023,2,,medium,0.395895018,3
148,sales,,0.912356757,4,,low,0.708413826,2
249,marketing,,0.838055064,4,,low,0.862591852,6
168,sales,,0.643553454,3,,low,0.489558558,3
140,marketing,,0.833000011,4,,medium,0.866202881,8
252,support,,0.609132567,4,,medium,0.986989857,2
104,engineering,,0.451407735,6,,low,1,6
236,product,,0.723485533,3,,medium,0.746263977,4
226,,,0.91836623,4,,medium,0.749011678,3
153,marketing,,0.941924915,3,,high,0.97770648,4
283,IT,,0.909019841,6,,low,0.154657327,5
181,support,,0.5471966,4,,low,0.508659131,3
202,support,,,3,,low,0.642781154,3
224,support,,0.891693497,3,,low,0.612906093,3
199,engineering,,0.483357756,3,,medium,1,10
301,finance,,0.923808291,6,,low,0.178418911,4
219,engineering,,0.337588408,2,,low,0.459678677,2
172,engineering,1,0.863040931,6,,medium,0.256079072,6
137,marketing,1,1,3,,low,0.988389791,4
174,finance,,0.59844765,3,,medium,0.640571097,2
166,product,,0.751252459,4,,medium,0.949777877,3
153,finance,,0.499267481,2,,low,0.437912473,3
268,sales,,,3,,medium,0.842297122,2
134,sales,,0.642092959,5,,medium,0.770906976,2
174,sales,,0.689128188,5,,medium,0.729598156,3
181,sales,1,0.488893995,4,,low,0.636554796,3
168,management,,0.679743269,4,,medium,0.59482977,4
167,,,0.668169774,2,,low,0.650213941,2
217,sales,,,4,,low,0.887157608,3
219,engineering,,0.803770158,4,,medium,0.940131185,3
197,support,1,,3,,medium,0.712622517,3
258,support,,0.855048898,5,,low,0.889621195,5
187,admin,,,4,,low,0.634591969,2
225,engineering,,0.714538602,4,,low,0.656735819,2
255,finance,,0.62054747,2,,low,0.898712062,4
129,marketing,,0.44902451,2,,low,0.383559301,3
274,sales,1,0.824985475,5,,low,0.655138293,2
121,sales,1,0.579052828,5,,low,0.246469654,3
156,finance,,0.444913192,2,,high,0.391679463,3
155,sales,,0.70700007,3,,low,0.999556116,2
132,support,,,3,,medium,0.738360968,2
266,engineering,,0.602712726,3,,high,0.752741898,2
158,product,1,0.42017078,5,,medium,0.993361197,4
160,support,,0.59628139,2,,low,0.378214141,3
132,engineering,,0.483398204,2,,low,0.432105692,3
244,product,,,3,,low,0.752764896,2
157,product,,0.672916271,5,,low,0.682967337,2
162,sales,,0.847222218,3,,medium,0.809305061,3
223,support,,,4,,low,0.932181079,3
187,sales,,0.638148974,5,,low,0.918474624,3
123,IT,,0.92493486,5,,low,0.862615421,5
208,sales,,0.523673274,4,,high,0.568809982,5
255,support,,0.512311301,5,,medium,0.632264566,3
209,,,0.616539648,3,,medium,0.253508946,5
233,sales,,0.553916335,4,,low,0.933313688,3
189,sales,,0.801747831,4,,medium,0.557363092,3
241,marketing,,0.641186139,3,,medium,0.621370473,3
161,engineering,,0.976966377,3,,low,0.845956345,3
157,engineering,,0.584180676,4,,low,0.53401195,2
146,sales,,0.558557281,2,,low,0.435013077,3
274,admin,,0.810377217,4,,high,0.872977638,3
163,sales,,0.753988628,4,1,medium,0.483513487,4
181,sales,,0.802460469,4,,low,0.908056593,3
116,engineering,1,0.667968723,5,,high,0.339059249,5
203,engineering,,0.629254381,4,,low,0.197663636,4
225,procurement,,0.933783154,4,1,medium,0.948014768,2
259,sales,,1,4,,low,0.773624509,5
143,engineering,,0.791326721,4,,medium,0.835745565,2
124,temp,,,1,,medium,,
135,sales,,0.772028119,3,,medium,0.831472568,7
148,engineering,,0.588801519,2,,medium,0.444250141,3
194,sales,,0.432389908,2,,medium,0.60145901,2
142,sales,,0.535970205,3,,medium,0.575493148,2
159,sales,,0.490760452,2,,low,0.427291344,3
271,engineering,1,0.964207637,3,,medium,0.571495304,3
127,engineering,,0.453934777,2,,low,0.374536738,3
143,admin,,,3,,low,0.740409001,3
163,procurement,,0.800400515,5,,low,0.181796155,6
168,support,,0.747791522,2,,low,0.869815076,3
259,product,,1,5,,low,0.80033731,6
233,IT,,0.95892853,4,,medium,0.998545346,6
233,support,,0.903100038,2,,low,0.927884449,3
276,support,,0.768480635,5,,low,0.079753942,4
259,support,,0.944930746,6,,low,0.112015881,4
294,,,0.626464365,3,,low,0.787255201,4
185,support,,0.500867814,3,,low,0.657353524,3
155,product,,0.81514725,4,,low,0.309794522,5
200,information_technology,,0.619681131,3,,medium,0.994865844,2
246,sales,,0.911057157,4,,low,0.773665134,5
157,IT,,0.867583228,3,,low,0.496436595,3
269,sales,1,0.802620805,3,,medium,0.77357831,3
177,sales,1,0.73556159,5,,medium,0.638771397,2
140,support,,0.461144322,2,,medium,0.431784414,3
273,product,,0.747428457,4,,low,1,2
163,marketing,,0.810411848,5,,medium,0.858778489,3
149,engineering,,0.437580548,2,,medium,0.359536154,3
157,product,,0.433883642,2,,medium,0.499493471,3
286,sales,,0.800265224,2,,medium,0.51143408,6
214,engineering,1,,4,,low,0.516768696,3
146,sales,1,0.585968134,4,,low,0.633906888,4
155,product,1,0.747088264,3,,low,0.660246424,4
229,sales,,0.90055316,3,,low,0.942848863,3
169,support,,0.683418397,3,,high,1,3
217,support,,0.990686779,5,,medium,0.717499284,6
129,support,,0.890669745,4,,medium,1,5
63,temp,,,1,,medium,,
304,sales,,0.916593758,6,,low,0.138117925,4
214,engineering,,0.67951314,4,,medium,0.482387837,3
219,engineering,,0.791435375,5,,low,0.126087296,4
143,engineering,,,2,,medium,0.450295972,3
181,,,,3,,low,0.843746865,3
278,management,,0.48172402,4,,medium,0.8384186,3
234,marketing,1,0.728536033,3,,medium,0.481906406,2
163,engineering,,0.610717548,4,,low,0.642329767,3
109,IT,,0.645521889,5,,high,0.854256095,2
139,product,,0.870653969,4,,high,0.979082316,2
154,engineering,,0.85877126,5,,medium,0.730601472,2
159,finance,,0.961415587,3,,medium,0.735084374,2
148,support,,0.510168079,2,,low,0.364352483,3
199,sales,,0.815565299,5,,medium,0.727308656,4
167,marketing,,0.631391739,5,,medium,0.173957571,7
236,,,0.954779188,5,,low,0.807370866,5
184,IT,,0.857911912,5,,low,0.773910401,3
244,sales,,0.653079941,4,,low,0.793910675,2
130,marketing,,0.484524251,2,,low,0.447217309,3
151,product,,,5,,medium,0.995995469,3
111,sales,,0.568549485,6,,low,0.854287259,6
245,product,,0.871648808,5,,low,0.828721341,5
267,sales,,0.8618691,4,,medium,0.805895837,5
287,finance,,0.870865883,6,,medium,0.06960906,4
228,IT,,0.810967801,4,,high,0.952958239,4
219,engineering,1,0.856268717,2,,medium,0.60649343,2
158,finance,,0.844273556,3,,medium,0.66184687,3
229,product,,0.831175831,4,,medium,0.185943198,4
147,sales,,0.516728678,4,,low,0.633097181,10
212,sales,,0.622518931,3,,high,0.836145025,3
208,finance,,0.699756351,4,,low,0.476215656,5
259,engineering,,,5,,medium,0.689087535,3
141,engineering,1,0.451822641,2,,low,0.407523553,3
239,engineering,,0.629906184,5,,low,0.707799448,4
157,support,,0.675937443,5,,low,0.580983085,4
271,support,,0.842446416,5,,low,0.090444307,5
207,engineering,1,1,4,,medium,0.753554038,2
141,engineering,,0.472128267,2,,medium,0.325472921,3
270,sales,,0.783125235,4,,low,0.844297036,5
259,sales,,0.611600532,5,,low,0.756747534,3
233,marketing,,,4,,high,0.800476755,2
269,engineering,,0.736758858,5,,low,0.662935819,3
168,sales,1,0.602498028,6,,high,1,5
154,support,,0.604841576,2,1,medium,0.401025467,3
184,sales,,0.579097285,2,,medium,0.645018417,3
140,sales,,0.519034732,2,,medium,0.423996638,3
192,engineering,,0.547018438,4,,low,0.622630993,3
121,engineering,1,0.772771854,4,,low,0.489458747,5
168,engineering,,0.540284546,3,,medium,0.749381634,2
127,sales,,0.597759175,4,,low,0.143126735,8
183,IT,,0.537691178,4,,low,0.521193875,3
259,support,,0.813778262,5,,low,0.883301803,5
144,product,1,0.472129388,2,,low,0.380094983,3
258,IT,1,0.827997831,3,,low,0.612377443,3
158,engineering,,0.5313891,2,,low,0.470484597,3
121,,,0.550256271,2,,low,0.469758271,5
210,engineering,1,0.955836574,4,,low,0.554472696,3
242,sales,,0.807379775,3,,low,0.881285494,6
273,product,,0.790495449,4,,low,0.727837654,4
256,support,,0.911942722,5,,low,0.779850843,5
273,management,,0.72767269,7,,low,0.166697935,4
145,sales,,0.531618991,2,,medium,0.379143963,3
243,engineering,,0.590305614,3,,medium,0.306482371,2
192,finance,,0.547401855,3,,medium,0.604670533,3
138,sales,,0.402051817,4,,low,0.291987426,4
138,sales,1,,4,,high,0.103919499,3
258,,,0.771906008,4,,medium,0.915405921,2
260,sales,,0.897083766,4,,medium,0.566886224,2
137,sales,,0.648888859,4,,medium,0.925078503,3
280,engineering,,0.816946282,4,,high,0.178987731,6
217,support,,0.879172363,4,,medium,0.773853326,6
